Código da unidade geográfica,Situação do setor,Logradouro,Número no logradouro,Complemento,Latitude,Longitude,Localidade,Ponto de referência,Espécie de endereço,Tipo de estabelecimento,Indicador de endereço,Identificação domicílio coletivo,Número da quadra,Número da face,CEP
410690205050153,Urbano,AVENIDA MANOEL RIBAS,5133,,,,CURITIBA,,Domicílio particular,,-0,,1,1,82020000
410690205050153,Urbano,RUA JOAO AZOLIN,192,CASA FUNDOS 2,,,CURITIBA,,Domicílio particular,,-0,,2,3,82015040
410690205050153,Urbano,RUA CARLOS PARIZE,280,CASA,,,CURITIBA,,Domicílio particular,,-0,,2,1,82015070
410690205050153,Urbano,RUA CARLOS PARIZE,15,CASA,,,CURITIBA,,Domicílio particular,,-0,,2,1,82015070
410690205050153,Urbano,RUA JOAO AZOLIN,280,BARRACAO,,,CURITIBA,,Estabelecimento de outras finalidades,ESTOFARIA,Único,,2,3,82015040
410690205050153,Urbano,RUA JOAO AZOLIN,280,CASA,,,CURITIBA,,Domicílio particular,,-0,,2,3,82015040
410690205050153,Urbano,RUA CARLOS PARIZE,15,CASA,,,CURITIBA,,Domicílio particular,,-0,,2,1,82015070
410690205050153,Urbano,RUA JOAO AZOLIN,190,,,,CURITIBA,,Domicílio particular,,-0,,2,3,82015040
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1270,CASA 12,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1270,CASA 14,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1270,CASA 13,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1500,CASA 9,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,2024,CASA 3,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,2024,CASA 2,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,2002,,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1404,CASA A,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA JOANNA COSTA,11,,,,CURITIBA,,Estabelecimento de outras finalidades,ATELIE ARTEZANATOS,Único,,1,4,82010040
410690205050153,Urbano,RUA JOANNA COSTA,11,,,,CURITIBA,,Domicílio particular,,-0,,1,4,82010040
410690205050153,Urbano,AVENIDA MANOEL RIBAS,4237,,,,CURITIBA,,Domicílio particular,,-0,,1,1,82020000
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1554,CASA 4,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA NICOLAU JOSE GRAVINA,1500,CASA 6,,,CURITIBA,,Domicílio particular,,-0,,1,6,82015020
410690205050153,Urbano,RUA JOANNA COSTA,6,CASA B,,,CURITIBA,,Domicílio particular,,-0,,1,3,82010040
410690205050153,Urbano,RUA JOANNA COSTA,8,,,,CURITIBA,,Domicílio particular,,-0,,1,3,82010040
410690205050153,Urbano,RUA JOANNA COSTA,6,,,,CURITIBA,,Domicílio particular,,-0,,1,3,82010040
